     ID |       RA |       DE |   MagK |    K_t | lgL_K |  Vls |   D_i |     ID1 |    ID1+ | Ng |      gRA |      gDE |  gK_t | glgL_K | gVls | gND |    gD | gsigL | gsigV |  gR2t | gRdyn | gMassL | gMassdyn
1015705 |  57.3113 | -16.8574 | -25.69 |   3.02 | 11.59 |  499 |  5.52 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015706 |  60.6584 | -15.9183 | -25.01 |   3.82 | 11.31 |  623 |  5.82 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015707 |  59.4346 | -19.4651 | -24.08 |   4.58 | 10.94 |  741 |  5.39 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015708 |  63.4821 | -17.5102 | -23.52 |   5.14 | 10.72 |  491 |  5.41 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1035072 |  50.4163 | -18.3995 | -22.23 |   7.71 | 10.20 |  995 |  9.72 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015710 |  57.8701 | -18.0482 | -21.55 |   7.11 |  9.93 |  163 |  5.41 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015714 |  53.0274 | -19.2219 | -21.13 |   7.55 |  9.77 |  301 |  5.46 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015711 |  58.2399 | -13.3976 | -21.10 |   7.70 |  9.75 |  350 |  5.74 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015709 |  54.8434 | -21.9315 | -21.05 |   7.66 |  9.73 |  241 |  5.52 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1036629 |  52.8700 | -20.7590 | -21.02 |   7.32 |  9.72 |  413 |  4.66 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015718 |  64.6000 | -16.5286 | -20.80 |   7.89 |  9.63 |  446 |  5.49 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1044159 |  52.4374 | -20.1402 | -20.75 |   7.35 |  9.61 |  679 |  4.17 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1043597 |  64.2498 | -11.1230 | -20.39 |   7.88 |  9.47 |  396 |  4.51 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015715 |  59.0998 | -22.4833 | -20.39 |   8.38 |  9.47 |  367 |  5.68 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015712 |  58.5250 | -15.5557 | -20.38 |   8.50 |  9.46 |  815 |  5.96 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015717 |  54.6375 | -22.9843 | -20.16 |   8.67 |  9.38 |  453 |  5.84 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015713 |  55.4588 | -20.2569 | -20.03 |   8.60 |  9.32 |  641 |  5.31 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1046039 |  53.6081 | -22.3907 | -19.95 |   8.00 |  9.29 |  628 |  3.89 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015722 |  58.1689 | -16.0408 | -19.59 |   9.06 |  9.15 |  181 |  5.36 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015730 |  55.4632 | -18.1544 | -19.04 |   9.71 |  8.93 |  401 |  5.63 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015732 |  59.4362 | -19.9972 | -18.87 |   9.80 |  8.86 |  810 |  5.41 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015723 |  57.8064 | -18.2604 | -18.82 |   9.89 |  8.84 |  533 |  5.51 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015719 |  53.5819 | -20.6928 | -18.77 |   9.77 |  8.82 |  472 |  5.10 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015716 |  58.3393 | -11.5050 | -18.63 |  10.37 |  8.76 |  291 |  6.30 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015720 |  59.4043 | -16.8000 | -18.38 |  10.38 |  8.66 |  538 |  5.67 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015737 |  61.1327 | -15.4959 | -18.35 |  10.44 |  8.65 |  757 |  5.71 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015743 |  58.5663 | -16.4878 | -18.27 |  10.45 |  8.62 |  618 |  5.53 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1036630 |  53.5369 | -22.2709 | -18.21 |  10.10 |  8.60 |  545 |  4.59 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015727 |  60.1643 | -20.1546 | -18.07 |  10.61 |  8.54 |  700 |  5.43 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015740 |  60.1977 | -13.7592 | -18.04 |  10.77 |  8.53 |  314 |  5.79 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015733 |  57.5475 | -10.7008 | -17.88 |  11.13 |  8.46 |  624 |  6.34 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015739 |  56.9488 | -16.8215 | -17.78 |  10.87 |  8.42 |  478 |  5.37 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015724 |  63.8595 | -16.8164 | -17.48 |  11.22 |  8.30 |  602 |  5.49 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015736 |  61.3288 | -12.8857 | -17.36 |  11.60 |  8.26 |  589 |  6.20 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1036631 |  52.5830 | -20.5600 | -17.27 |  11.09 |  8.22 |  523 |  4.69 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015721 |  59.9628 | -15.8162 | -17.05 |  11.63 |  8.13 |  324 |  5.44 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015741 |  59.3153 | -16.8523 | -16.94 |  11.69 |  8.09 |  282 |  5.31 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015731 |  55.5899 | -16.9671 | -16.75 |  12.06 |  8.01 |  632 |  5.76 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015726 |  56.4137 | -20.7253 | -16.65 |  12.15 |  7.97 |  648 |  5.75 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1066594 |  60.4947 | -24.0559 | -16.51 |  12.07 |  7.92 |  645 |  5.20 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015744 |  55.0222 | -21.3110 | -16.46 |  12.26 |  7.90 |  501 |  5.55 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1076574 |  58.3780 | -17.8477 | -16.45 |  11.68 |  7.89 |  635 |  4.22 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015725 |  55.1858 | -13.8170 | -16.30 |  12.44 |  7.83 |  474 |  5.59 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1015746 |  60.1703 | -19.7411 | -16.26 |  12.46 |  7.81 |  626 |  5.54 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
1085120 |  64.9326 | -22.5316 | -16.21 |  13.04 |  7.80 |  546 |  7.07 | 1015705 | 1015705 | 77 |  58.5438 | -17.0998 |  2.24 |  11.91 |  531 |  77 |  5.58 |   293 |   194 | 0.794 | 0.553 | 13.703 |   13.279
